timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-08-08,136.6000,138.9900,135.9300,138.8900,137.9446,27496508,0.0000,1.0000
2019-08-07,133.7900,135.6500,131.8284,135.2800,134.3591,33414539,0.0000,1.0000
2019-08-06,133.8000,135.6800,133.2100,134.6900,133.7732,32696651,0.0000,1.0000
2019-08-05,133.3000,133.9298,130.7800,132.2100,131.3100,42749551,0.0000,1.0000
2019-08-02,138.0900,138.3200,135.2600,136.9000,135.9681,30791624,0.0000,1.0000
2019-08-01,137.0000,140.9383,136.9300,138.0600,137.1202,40557502,0.0000,1.0000
2019-07-31,140.3300,140.4900,135.0800,136.2700,135.3424,38598786,0.0000,1.0000
2019-07-30,140.1400,141.2199,139.8005,140.3500,139.3946,16846528,0.0000,1.0000
2019-07-29,141.5000,141.5100,139.3663,141.0300,140.0700,16605870,0.0000,1.0000
2019-07-26,140.3700,141.6750,140.3000,141.3400,140.3779,19037600,0.0000,1.0000
2019-07-25,140.4300,140.6100,139.3215,140.1900,139.2357,18356859,0.0000,1.0000
